latitude,longitude,rain_season_mean,rain_season_sd,rain_season_min,rain_season_max,rain_14d,tmin_season_mean,tmin_season_sd,tmin_season_min,tmin_season_max,tmin_14d,tmax_season_mean,tmax_season_sd,tmax_season_min,tmax_season_max,tmax_14d,wind_season_mean,wind_season_sd,wind_season_min,wind_season_max,wind_14d,solar_season_mean,solar_season_sd,solar_season_min,solar_season_max,solar_14d,rh_season_mean,rh_season_sd,rh_season_min,rh_season_max,rh_14d,rain_season_total_mm,rain_season_total_sd,rain_m01_mean,rain_m01_sd,tmin_m01_mean,tmin_m01_sd,tmax_m01_mean,tmax_m01_sd,wind_m01_mean,wind_m01_sd,solar_m01_mean,solar_m01_sd,rh_m01_mean,rh_m01_sd,rain_m02_mean,rain_m02_sd,tmin_m02_mean,tmin_m02_sd,tmax_m02_mean,tmax_m02_sd,wind_m02_mean,wind_m02_sd,solar_m02_mean,solar_m02_sd,rh_m02_mean,rh_m02_sd,rain_m03_mean,rain_m03_sd,tmin_m03_mean,tmin_m03_sd,tmax_m03_mean,tmax_m03_sd,wind_m03_mean,wind_m03_sd,solar_m03_mean,solar_m03_sd,rh_m03_mean,rh_m03_sd,rain_m04_mean,rain_m04_sd,tmin_m04_mean,tmin_m04_sd,tmax_m04_mean,tmax_m04_sd,wind_m04_mean,wind_m04_sd,solar_m04_mean,solar_m04_sd,rh_m04_mean,rh_m04_sd,rain_m05_mean,rain_m05_sd,tmin_m05_mean,tmin_m05_sd,tmax_m05_mean,tmax_m05_sd,wind_m05_mean,wind_m05_sd,solar_m05_mean,solar_m05_sd,rh_m05_mean,rh_m05_sd,rain_m06_mean,rain_m06_sd,tmin_m06_mean,tmin_m06_sd,tmax_m06_mean,tmax_m06_sd,wind_m06_mean,wind_m06_sd,solar_m06_mean,solar_m06_sd,rh_m06_mean,rh_m06_sd,rain_m07_mean,rain_m07_sd,tmin_m07_mean,tmin_m07_sd,tmax_m07_mean,tmax_m07_sd,wind_m07_mean,wind_m07_sd,solar_m07_mean,solar_m07_sd,rh_m07_mean,rh_m07_sd,rain_m08_mean,rain_m08_sd,tmin_m08_mean,tmin_m08_sd,tmax_m08_mean,tmax_m08_sd,wind_m08_mean,wind_m08_sd,solar_m08_mean,solar_m08_sd,rh_m08_mean,rh_m08_sd,rain_m09_mean,rain_m09_sd,tmin_m09_mean,tmin_m09_sd,tmax_m09_mean,tmax_m09_sd,wind_m09_mean,wind_m09_sd,solar_m09_mean,solar_m09_sd,rh_m09_mean,rh_m09_sd,rain_m10_mean,rain_m10_sd,tmin_m10_mean,tmin_m10_sd,tmax_m10_mean,tmax_m10_sd,wind_m10_mean,wind_m10_sd,solar_m10_mean,solar_m10_sd,rh_m10_mean,rh_m10_sd,rain_m11_mean,rain_m11_sd,tmin_m11_mean,tmin_m11_sd,tmax_m11_mean,tmax_m11_sd,wind_m11_mean,wind_m11_sd,solar_m11_mean,solar_m11_sd,rh_m11_mean,rh_m11_sd,rain_m12_mean,rain_m12_sd,tmin_m12_mean,tmin_m12_sd,tmax_m12_mean,tmax_m12_sd,wind_m12_mean,wind_m12_sd,solar_m12_mean,solar_m12_sd,rh_m12_mean,rh_m12_sd
10.065383,74.299117,8.652,3.002,0.960,20.620,4.281,26.416,0.493,25.240,27.970,28.788,28.804,0.432,27.580,30.600,29.316,5.974,0.790,2.160,8.510,6.625,16.972,1.719,11.650,22.650,18.959,82.574,1.493,76.860,86.820,78.418,1323.45,205.67,0.616,0.877,26.071,0.486,28.443,0.470,3.010,0.422,19.057,0.899,73.320,1.706,0.370,0.301,26.452,0.519,28.600,0.524,2.991,0.379,21.447,0.726,74.580,1.933,0.986,1.174,27.020,0.449,29.340,0.444,3.019,0.438,22.672,0.887,76.607,1.649,2.577,1.265,27.683,0.567,30.001,0.560,3.246,0.652,22.056,0.910,77.883,1.920,7.401,3.808,27.622,0.566,30.309,0.528,4.902,0.826,18.672,2.107,79.284,1.698,12.024,3.248,27.086,0.463,29.636,0.463,6.915,0.844,15.204,1.680,81.578,0.991,11.598,3.544,26.495,0.592,28.808,0.429,7.114,0.681,15.346,1.850,83.425,1.542,8.071,3.303,26.021,0.467,28.419,0.454,6.365,0.692,17.688,1.879,83.900,1.370,5.565,2.389,26.174,0.501,28.376,0.406,5.414,0.713,19.213,1.730,83.389,1.497,6.001,2.307,26.303,0.428,28.779,0.403,4.062,0.976,17.407,1.419,80.578,1.917,4.245,1.650,26.143,0.479,28.970,0.506,3.084,0.588,16.899,1.112,77.356,2.521,1.937,1.160,26.345,0.491,29.010,0.425,3.400,0.445,17.642,1.000,73.335,2.324
24.066720,87.164139,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
24.066920,87.164083,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
24.067140,87.166528,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
24.067170,87.164694,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
24.068000,87.165083,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
24.070440,87.151706,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
24.070670,87.151675,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
24.070810,87.151653,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
24.071530,87.151675,7.275,2.768,0.320,19.270,15.407,22.544,0.920,12.870,26.380,24.918,34.672,1.552,30.170,46.600,31.026,3.098,0.349,1.600,4.400,4.012,16.267,1.255,12.760,21.700,16.264,81.534,4.644,50.680,91.480,88.575,1113.16,189.09,0.343,0.396,5.815,1.118,27.543,1.657,2.723,0.276,12.495,1.249,59.973,9.284,0.497,0.517,8.452,1.608,33.096,2.276,2.848,0.387,16.076,1.139,49.626,9.072,0.648,0.513,13.624,1.824,39.159,1.652,2.962,0.358,19.500,1.140,38.053,8.694,1.277,1.005,19.351,1.392,43.206,1.775,2.896,0.325,21.385,1.260,38.497,8.647,3.606,1.643,23.226,0.948,43.992,1.595,3.128,0.331,20.526,1.493,51.487,8.143,6.815,3.300,25.029,0.820,42.024,2.944,3.593,0.371,18.149,1.415,67.315,8.900,9.707,3.279,24.593,0.369,34.680,1.375,3.615,0.298,15.837,1.296,83.716,2.990,8.901,2.181,24.123,0.400,32.937,0.768,3.226,0.326,15.977,1.127,87.359,1.714,7.693,2.546,22.653,1.109,32.356,0.606,2.846,0.400,15.630,0.934,87.934,1.821,3.260,2.329,16.319,1.426,31.361,0.723,2.209,0.338,15.741,1.432,81.346,3.661,0.259,0.394,11.351,1.495,28.835,1.127,2.170,0.386,14.571,0.960,73.190,6.395,0.233,0.391,6.792,1.251,26.247,1.217,2.471,0.374,12.035,1.229,67.831,9.114
