STATE,District,Dist_Code,TEHSIL,lat,lon,season_days,season_rainfall_mm,season_tmin_mean,season_tmax_mean
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,153,835.4575,24.518,33.7787
BIHAR,GAYA,D100,DUMARIA,24.5,84.5,153,907.9196,24.0044,33.2375
BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,153,946.0064,24.8642,33.565
BIHAR,JAMUI,D103,CHAKAI,24.5,86.5,153,1062.29,24.7567,32.9656
BIHAR,KATIHAR,D104,BARARI,25.5,87.5,153,1300.65,25.5757,33.0696
BIHAR,KHAGARIA,D105,GOGRI,25.5,86.5,153,1068.1567,25.3208,33.452
BIHAR,MADHUBANI,D109,BENIPATTI,26.5,86.5,153,1037.998,25.3079,33.078
BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,153,966.2837,25.4172,33.4605
BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,153,981.2904,24.8342,33.7048
HARYANA,FATEHABAD,D214,FATEHABAD,29.5,75.5,153,338.8304,23.9982,35.3762
HARYANA,JHAJJAR,D217,JHAJJAR,28.5,76.5,153,418.58,24.6765,35.7288
HARYANA,JIND,D218,JULANA,29.5,76.5,153,403.17,24.3022,34.8089
PUNJAB,BARNALA,D520,BARNALA,30.5,75.5,153,362.77,23.5337,34.9994
PUNJAB,KAPURTHALA,D529,SULTANPUR LODHI,31.5,75.5,153,640.6497,22.6965,33.8459
PUNJAB,PATIALA,D536,PATIALA,30.5,76.5,153,577.5725,22.2277,32.5981
PUNJAB,SRI MUKTSAR SAHIB,D533,MUKTSAR,30.5,74.5,153,310.44,23.8149,35.4382
UTTAR PRADESH,AMBEDKAR NAGAR,D679,AKBARPUR,26.5,82.5,153,694.545,24.7903,34.1529
UTTAR PRADESH,AMETHI,D680,AMETHI,26.5,81.5,153,764.5575,24.9463,34.1816
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,153,428.11,24.8344,34.6314
UTTAR PRADESH,BAHRAICH,D686,BAHRAICH,27.5,81.5,153,986.4316,24.7267,33.9244
UTTAR PRADESH,BALRAMPUR,D688,BALRAMPUR,27.5,82.5,153,846.524,24.8714,33.9377
UTTAR PRADESH,BANDA,D689,ATARRA,25.5,80.5,153,801.6062,24.4541,34.2936
UTTAR PRADESH,BAREILLY,D691,AONLA,28.5,79.5,153,706.652,23.2389,32.6012
UTTAR PRADESH,BIJNOR,D694,AFZALGARH,29.5,78.5,153,889.4429,20.9393,29.8712
UTTAR PRADESH,ETAH,D700,ALIGANJ,27.5,78.5,153,595.56,25.052,35.1925
UTTAR PRADESH,FARRUKHABAD,D702,AMRITPUR,27.5,79.5,153,596.235,24.9208,34.4292
UTTAR PRADESH,GAUTAM BUDH NAGAR,D705,DADRI,28.5,77.5,153,392.3432,24.6676,35.0463
UTTAR PRADESH,GHAZIPUR,D706,GHAZIPUR,25.5,83.5,153,761.3775,24.617,33.9673
UTTAR PRADESH,GORAKHPUR,D709,BANSGAON,26.5,83.5,153,833.122,24.8275,33.8712
UTTAR PRADESH,HAMIRPUR,D710,HAMIRPUR,25.5,79.5,153,728.9955,24.1506,34.489
UTTAR PRADESH,JAUNPUR,D715,BADLAPUR,25.5,82.5,153,759.5642,24.7535,34.0373
UTTAR PRADESH,JHANSI,D716,GARAUTHA,25.5,78.5,153,709.5316,24.0173,34.6258
UTTAR PRADESH,KAUSHAMBI,D721,CHAIL,25.5,81.5,153,829.155,24.8063,34.3046
UTTAR PRADESH,KHERI,D722,DHAURAHARA,28.5,80.5,153,958.601,23.4248,32.6087
UTTAR PRADESH,LALITPUR,D724,LALITPUR,24.5,78.5,153,879.419,23.4382,33.8033
UTTAR PRADESH,MATHURA,D728,CHHATA,27.5,77.5,153,510.18,24.9362,35.3633
UTTAR PRADESH,MUZAFFARNAGAR,D733,BUDHANA,29.5,77.5,153,758.7125,23.0212,32.5799
UTTAR PRADESH,SAMBHAL,D739,CHANDAUSI,28.5,78.5,153,713.2433,24.5495,34.4043
UTTAR PRADESH,SITAPUR,D745,BISWAN,27.5,80.5,153,865.3692,24.8267,34.0199
UTTAR PRADESH,UNNAO,D748,BIGHAPUR,26.5,80.5,153,575.6849,24.7856,34.1933
