column,data_type,description,source
record_id,Integer,"Unique farm record identifier (1-based, from source row after header skip)",Derived
Longitude,Decimal degrees,Farm longitude (WGS84),RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Latitude,Decimal degrees,Farm latitude (WGS84),RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Crop Sowing Time,Date (YYYY-MM-DD),Crop sowing date,RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Crop Harvesting Time,Date (YYYY-MM-DD),Crop harvesting date,RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Yield Level (t/ha),t/ha,Observed rice yield,RICE_UP_BI_PU_HR_USED_FINAL.xlsx
season_days,Days,Harvest date minus sowing date,Derived
total_mon_fri_weeks,Count,Number of Mon-Fri weeks in growing season for this record,Derived
pH (1:2),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
EC (dS/m),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
OC %,Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Major-nutrient Avail N. (Kg/ha),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Major-nutrient P(kg/ha),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Major-nutrient Avail. K (kg/ha),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Major-nutrient Sulphur (kg/ha),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Micro-nutrientZn (ppm),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Micro-nutrient Fe (ppm),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Micro-nutrient Mn (ppm),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Micro-nutrient Cu (ppm),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Actual Residue Incorporation,Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
N (kg/ha),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
P2o5 from DAP,Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
K2o5 from MOP,Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Zinc Sul,Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
FYM (in t/ha),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
FYM input interval (Yr),Numeric/Text,"Soil, nutrient, or management field from rice dataset",RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Crop Sowing Time_1,Day of year,Sowing day-of-year (Julian),RICE_UP_BI_PU_HR_USED_FINAL.xlsx
Crop Harvesting Time_1,Day of year,Harvest day-of-year (Julian),RICE_UP_BI_PU_HR_USED_FINAL.xlsx
week01_rainfall_total_week_mm,Float,Week 1 of growing season: Total rainfall Mon-Fri (mm). Blank if season has fewer than 1 weeks.,"NASA POWER (PRECTOTCORR, sum)"
week01_rainfall_weekly_mean_mm_day,Float,Week 1 of growing season: Mean daily rainfall Mon-Fri (mm/day). Blank if season has fewer than 1 weeks.,"NASA POWER (PRECTOTCORR, mean)"
week01_relative_humidity_weekly_mean_pct,Float,Week 1 of growing season: Mean relative humidity Mon-Fri (%). Blank if season has fewer than 1 weeks.,"NASA POWER (RH2M, mean)"
