date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmax_mean
01-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.8
02-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.64
03-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.55
04-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.87
05-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.56
06-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.06
07-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.78
08-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.82
09-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,19.97
10-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.48
11-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.56
12-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.55
13-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.71
14-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.23
15-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.92
16-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.25
17-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.47
18-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.47
19-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.68
20-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,20.91
21-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.05
22-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.28
23-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.61
24-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.07
25-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,21.8
26-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.18
27-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.46
28-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.2
29-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,22.57
30-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.49
31-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.43
01-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.47
02-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,23.65
03-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.32
04-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.25
05-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.27
06-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.29
07-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.58
08-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.22
09-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.63
10-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.02
11-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,24.88
12-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.29
13-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.42
14-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,25.97
15-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.06
16-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.05
17-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,26.8
18-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.19
19-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,27.98
20-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,28.05
21-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,28.22
