date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmax_Std
01-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.05
02-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.16
03-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.41
04-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.23
05-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.9
06-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.88
07-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.7
08-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.41
09-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.3
10-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.26
11-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.16
12-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3
13-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.31
14-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.3
15-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.29
16-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.8
17-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.56
18-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.92
19-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.85
20-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.24
21-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.12
22-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.98
23-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.75
24-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.55
25-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.75
26-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.85
27-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.61
28-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.19
29-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.33
30-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.35
31-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.57
01-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.51
