STATE,District,Dist_Code,TEHSIL,lat,lon,date,Tmax_mean,Tmax_Std,Tmin_Mean,Tmin_Std,IMD_pr_Mean,IMD_pr_std
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-01,21.2,2.71,9.05,2.5,0.16,0.8575
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-02,21.05,2.8,9.03,2.48,0.3825,1.3275
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-03,20.98,2.95,8.9,2.58,0.0175,0.0925
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-04,21.02,2.82,9.08,2.43,0.1425,0.725
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-05,20.9,2.94,8.99,2.3,0.035,0.1925
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-06,20.94,3.11,8.62,2.35,0.115,0.5725
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-07,20.83,3.21,8.9,2.7,0.0925,0.4725
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-08,21.2,2.89,8.98,2.85,0.2325,0.995
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-09,21.18,2.72,8.81,2.97,0.5025,2.03
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-10,21.4,2.93,8.65,2.81,0.2075,1.1225
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-11,20.97,2.99,8.64,2.63,0.4575,2.19
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-12,21.06,2.64,8.3,2.31,0.26,1.08
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-13,21.37,2.72,8.21,2.01,0.495,2.6225
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-14,21.43,3.05,8.11,1.82,0.0775,0.38
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-15,21.48,2.87,8.37,2.07,0.5825,3.07
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-16,21.49,3,8.66,2.1,0.4575,2.18
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-17,21.48,3.05,8.83,2.16,0.1875,0.87
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-18,21.77,3.41,9.12,2.65,0.2475,1.26
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-19,21.73,3.32,9.27,2.79,0.89,2.96
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-20,21.85,2.66,8.85,2.67,0.3975,1.7675
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-21,21.77,2.63,8.58,1.97,0.3275,1.39
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-22,21.92,2.64,8.5,2.08,0.4825,2.25
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-23,22.28,2.77,9,2.67,1.2075,4.165
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-24,22.32,2.74,9.22,2.39,1.5375,5.895
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-25,22.6,2.45,9.07,2.44,0.155,0.79
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-26,22.77,2.15,9.04,2.43,0,0
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-27,23.02,2.22,9.15,2.28,0.0875,0.4675
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-28,23.18,1.93,9.46,2.35,0.2625,0.965
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-29,22.81,2.33,9.43,2.16,0.3075,0.9225
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-30,23.54,2.39,9.41,2.12,0.1125,0.415
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,01-31,23.88,2.38,9.62,2.2,0.2325,1.1325
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-01,23.87,2.32,9.8,2.15,0.47,1.375
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-02,24.06,2.3,9.63,2.11,0.2975,1.4225
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-03,24.65,2,9.63,1.81,0.035,0.18
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-04,24.88,2.01,10.02,1.9,0.325,1.7425
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-05,25.09,2.02,10.43,1.8,0.2075,0.745
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-06,25.25,2.07,10.57,1.74,0.0525,0.255
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-07,25.28,2.12,10.64,2.14,0.0475,0.225
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-08,24.79,2.07,10.99,2.35,0.86,2.585
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-09,25.22,1.72,10.72,2.05,0.815,2.285
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-10,25.46,1.86,10.82,2.21,0.3925,1.575
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-11,25.55,2.32,10.96,1.89,0.2825,1.305
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-12,25.98,2.12,11.47,2.24,0.49,2.5775
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-13,25.9,2.28,11.64,2.17,0.18,0.6775
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-14,26.48,2.47,11.94,2.07,0.95,3.0775
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-15,26.48,2.52,11.85,2.1,0.4725,1.78
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-16,26.49,2.38,12.33,1.96,0.635,2.6875
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-17,26.99,2.17,12.45,1.67,0.775,3.815
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-18,27.56,1.98,12.5,1.95,0.42,2.215
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-19,28.02,1.84,12.54,2.14,0.9275,4.7425
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-20,28.06,2.12,12.91,2.17,0.385,1.765
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-21,28.26,2.12,12.98,2.01,0.0775,0.3875
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-22,28.29,2.36,13.37,1.76,0.71,2.7
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-23,28.82,2.16,13.73,1.51,0.6975,2.39
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-24,28.99,2.34,13.71,1.82,0.3775,1.695
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-25,28.56,2.53,13.81,2.03,0.4525,2.015
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-26,28.27,2.23,13.95,2.01,0.6325,2.6725
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-27,28.48,2.34,13.78,1.75,1.0775,4.0475
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-28,28.72,2.48,13.94,1.87,0.4725,1.9475
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,02-29,29.07,1.97,13.83,1.72,0,0
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-01,28.76,2.57,14.15,2.07,1.105,3.965
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-02,29.23,2.46,14.06,1.89,0.34,1.63
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-03,29.58,2.46,14.36,1.84,0.225,0.81
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-04,29.89,2.36,14.24,1.5,0.19,0.7475
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-05,29.54,2.53,14.74,2.06,0.005,0.0325
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-06,29.38,2.2,14.24,2.07,0.1125,0.6275
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-07,30.03,2.25,14.16,2.06,0.245,1.32
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-08,30.02,2.17,14.53,2.17,0.2675,1.2125
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-09,30.33,1.99,14.77,2.21,0.45,2.435
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-10,30.55,2.24,14.98,2.01,0.3725,2.0375
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-11,31.12,2.14,15.39,1.67,0.2625,1.18
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-12,31.46,2.08,15.78,1.43,0.1075,0.4525
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-13,30.57,2.85,15.71,1.79,0.39,1.5575
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-14,30.97,2.82,15.82,1.69,1.1125,4.175
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-15,31.33,2.5,16.04,1.73,0.45,1.5125
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-16,31.85,2.04,16.23,1.85,0.2275,1.005
BIHAR,BHOJPUR,D97,PIRO,25.5,84.5,03-17,32.18,2.22,16.51,1.79,0.0475,0.2175
