date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmin_Mean
01-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.87
02-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.73
03-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.82
04-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.59
05-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.4
06-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.52
07-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.52
08-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.37
09-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.36
10-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.29
11-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.03
12-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,7.59
13-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,7.83
14-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.25
15-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.63
16-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.8
17-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.7
18-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.72
19-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.88
20-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.56
21-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.39
22-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.67
23-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,8.98
24-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,9.31
