 date(1995-2025),lat,lon,District,STATE,Dist_Code,TEHSIL,Tmin_Std
01-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.43
02-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.22
03-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.52
04-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.56
05-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.46
06-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.47
07-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.07
08-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,3.16
09-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.84
10-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.67
11-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.22
12-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.98
13-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.05
14-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2
15-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.08
16-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.37
17-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.57
18-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.77
19-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.56
20-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.18
21-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.75
22-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.26
23-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.64
24-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.41
25-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.28
26-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.18
27-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.25
28-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.16
29-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2
30-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.08
31-01-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.37
01-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.25
02-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.89
03-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.7
04-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.72
05-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.98
06-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.9
07-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.13
08-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.17
09-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.98
10-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.09
11-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.16
12-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.25
13-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.32
14-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.23
15-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.32
16-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.66
17-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.76
18-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.22
19-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.33
20-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.42
21-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.2
22-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.67
23-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.74
24-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.97
25-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.16
26-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.97
27-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.83
28-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.12
29-02-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.08
01-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.27
02-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
03-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.07
04-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,1.82
05-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.34
06-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.15
07-03-2025,26.5,81.5,AMETHI,UTTAR PRADESH,D680,AMETHI,2.14
