State,District,Date(1995-2025),Lat,Lon,IMD_pr_Mean
BIHAR,GAYA,29-02-2025,24.35,84.45,0
BIHAR,GAYA,01-01-2025,24.35,84.45,0.39
BIHAR,GAYA,02-01-2025,24.35,84.45,0.47
BIHAR,GAYA,03-01-2025,24.35,84.45,0.24
BIHAR,GAYA,04-01-2025,24.35,84.45,0.19
BIHAR,GAYA,05-01-2025,24.35,84.45,0.04
BIHAR,GAYA,06-01-2025,24.35,84.45,0.05
BIHAR,GAYA,07-01-2025,24.35,84.45,0.4
BIHAR,GAYA,08-01-2025,24.35,84.45,0.02
BIHAR,GAYA,09-01-2025,24.35,84.45,0.05
BIHAR,GAYA,10-01-2025,24.35,84.45,0.3
BIHAR,GAYA,11-01-2025,24.35,84.45,0.48
BIHAR,GAYA,12-01-2025,24.35,84.45,0.31
BIHAR,GAYA,13-01-2025,24.35,84.45,0.38
BIHAR,GAYA,14-01-2025,24.35,84.45,0.09
BIHAR,GAYA,15-01-2025,24.35,84.45,0.07
BIHAR,GAYA,16-01-2025,24.35,84.45,0.07
BIHAR,GAYA,17-01-2025,24.35,84.45,0.01
BIHAR,GAYA,18-01-2025,24.35,84.45,0.11
BIHAR,GAYA,19-01-2025,24.35,84.45,0.23
BIHAR,GAYA,20-01-2025,24.35,84.45,0.59
BIHAR,GAYA,21-01-2025,24.35,84.45,0.24
BIHAR,GAYA,22-01-2025,24.35,84.45,0.22
BIHAR,GAYA,23-01-2025,24.35,84.45,0.35
BIHAR,GAYA,24-01-2025,24.35,84.45,0.81
BIHAR,GAYA,25-01-2025,24.35,84.45,0.24
BIHAR,GAYA,26-01-2025,24.35,84.45,0.09
BIHAR,GAYA,27-01-2025,24.35,84.45,0
BIHAR,GAYA,28-01-2025,24.35,84.45,0.43
BIHAR,GAYA,29-01-2025,24.35,84.45,0.69
BIHAR,GAYA,30-01-2025,24.35,84.45,0.09
BIHAR,GAYA,31-01-2025,24.35,84.45,0.15
BIHAR,GAYA,01-02-2025,24.35,84.45,0.19
BIHAR,GAYA,02-02-2025,24.35,84.45,0.58
BIHAR,GAYA,03-02-2025,24.35,84.45,0.07
BIHAR,GAYA,04-02-2025,24.35,84.45,0.12
BIHAR,GAYA,05-02-2025,24.35,84.45,0.07
BIHAR,GAYA,06-02-2025,24.35,84.45,0
BIHAR,GAYA,07-02-2025,24.35,84.45,0.15
BIHAR,GAYA,08-02-2025,24.35,84.45,0.75
