station_id,station_name
100153,Golagokarnath
43192,Panjim
100169,Konch
43257,Agumbe
100185,Partawal
43311,Amini Divi
100201,Sandila Apmc
43352,Alappuzha
100217,Haldwani
50003,Aurangabad
100233,Jiyaganj Krishak Bazar
88809,Kancheepuram
100249,Navapara
88826,Nagaon
100265,Ferozpur Jhirka Apmc
88848,Kangan
100281,Kosli Apmc
90023,Gund
100297,Pillukhera
93258,Nabarangpur
100313,Uchana
99375,Barpeta Kvk
100329,Gadarwara
99391,Saraiya
100345,Krishi Upaj Mandi Samiti-pandhurna
99408,Amreli Kvk
100361,Aatpadi
99424,Chamba Saru Farm
99440,Latehar Balumath
99456,Mandya Kvk
18001,Thane
99472,Marukheda
30008,Kollam
99488,Chandel
31001,Champawat
99504,Puducherry Kvk
42054,Katra
100376,Lonand
99522,Papparapatty
42083,Shimla-city
100393,Bonai
99538,Pithoragarh Kvk
42123,Sriganganagar
100414,Barnala
99554,Mohana
42181,New Delhi-palam
100430,Nawanshahr Market
99921,New Delhi-delhi University
42266,Shahjahanpur
100446,Cumbum
99938,Ahmedabad-chandkheda
42349,Tonk
100463,Mayiladuthurai
99954,Dehradun-asharori
42387,Muzaffarpur
100479,Sathyamangalam
99973,Lucknow-mohanlalganj
42450,Bundi
100495,Vettavalam
99991,Skardu
42516,Shillong
100511,Gajwel
100008,Pakur
42618,Kailashahar
100527,Miryalaguda
100024,Bayana
42701,Ranchi
100543,Vikarabad
100040,Dausa
42767,Pachmarhi
100559,Noida Apmc
100056,Hindoun
42834,Amreli
101013,Kameng-tenga Dam
100072,Kotputli
42894,Baripada
101029,Rongnichu
100088,Niwai
42948,Rajnandgaon
101045,Vishnugad Pipalkoti
100105,Sadulpur
43017,Parbhani
101062,Devprayag
100121,Suratgarh
43076,Udgir
101085,Tanakpur
100137,Bindiki
43128,Hyderabad
43158,Sangli
100160,Jangipura
43220,Bapatla
100176,Milak
43287,Madikeri
100192,Rampur Bilaspur
43328,Pondicherry
100208,Tikuniya
43367,Carnicobar
100224,Sitarganj
60001,Janjgir
100240,Samsi Sub Market Yard
88817,Sasan Gir
100256,Ateli Apmc
88834,Khordha
100272,Jagadhri Apmc
90009,Gauchar
100288,Narnaund
90142,Jafarpur
100304,Sadhaura Apmc
99366,Garikapadu
100320,Balaghat
99382,Araria
100336,Khirkiya
99398,Dumarbahar
100352,Neemuch
99415,Surat Kvk
99431,Bokaro Kvk
99447,Jagannathpur Bau
99463,Kavaratti Kvk
26003,Namchi
99479,Sakoli
30016,Mamallapuram
99495,Balangir Kvk
42027,Srinagar-city
100367,Chamorshi
99511,Chittorgarh Kvk
42066,Kalpa
100383,Varora
99529,Virinjipuram
42104,Nahan
100405,Padampur Od
99545,Chitrakoot Kvk
42147,Mukteshwar
100421,Gurdaspur Apmc
99561,Purulia
42237,Phalodi
100437,Tarn Taran Apmc
99929,Chandigarh-panchkula
42308,Itanagar
100453,Harur
99945,Mumbai-worli
42369,Lucknow-airport
100470,Paramakudi
99963,Bengaluru-gkvk
42407,Goalpara
100486,Thiyagadurgam
99980,Jammu-mata Vaishno Devi Ji
42474,Prayagraj
100502,Badepally
99998,Shigar
42555,Jhalawar
100518,Jangaon
100015,Anta
42651,Idar
100534,Parkal
100031,Bijoliya
42726,Aizawl
100550,Rajsamand
100047,Dungarpur
42795,Chaibasa
101004,Budhil
100063,Kapasan
42871,Gondia
101020,Maneribhali-i
100079,Malpura
42925,Malegaon
101036,Shrinagar
100096,Pratapgarh Rj
42971,Bhubneshwar-airport
101052,Bageshwar
100112,Sri Dungargarh
43049,Gopalpur
101074,Kanatal
100128,Atarra Apmc
43102,Paralakhemundi
100144,Chibramau
100151,Firozabad Apmc
43187,Narasapur
100167,Khalilabad
43243,Kavali
100183,Nawabganj Apmc
43303,Vellore
100199,Sahjanwa Apmc
43347,Nagapattinam
100215,Bazpur
50001,Madhubani
100231,Gangarampur
88807,Bhimbar
100247,Kurud
88824,Sunderban
100263,Ellanabad
88846,Sonamarg
100279,Kalayat
90018,Ukhimath
100295,Panchkula Apmc
93255,Deogarh
100311,Tauru Apmc
99373,Tawang Chamgbu
100327,Damoh
99389,Katihar
100343,Krishi Upaj Mandi Samiti-kukshi
99406,Ela North Goa
100359,Tikamgarh
99422,Damla
99438,Hazaribag Kvk
99454,Tamaka
13002,Deogarh
99470,Pipraundh
30006,Ooty
99486,Mohol
30027,Bodhgaya
99502,Puri Kvk
42046,Kukernag
100374,Gevrai
99518,Sirohi
42080,Bilaspur
100391,Betnoti
99536,Matela
42116,Joshimath
100412,Abohar
99552,Mainpuri Kvk
42178,Gurgaon
100428,Moga Apmc
99919,Hanumangarh
42262,Aligarh
100444,Chetpet
99936,Ahmedabad-navrangpura (s.p.stadium)
42343,Ajmer
100460,Lalgudi
99952,Dehradun-jhajhara
42383,Motihari
100477,Rajasingamangalam
99971,Lucknow-control Room
42439,Jalore
100493,Vellakoil
99987,Guwahati-iit Guwahati
42503,Malda
100509,Gaddiannaram
100006,Koderma
42599,Dumka
100525,Makthal
