asset_file,url,category_guess
10_LRF_Performance_62bc41208e95c.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/10_LRF_Performance_62bc41208e95c.png,LRF_Performance_62bc41208e95c.png
11_LRF_Performance_62bc4121a4511.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/11_LRF_Performance_62bc4121a4511.png,LRF_Performance_62bc4121a4511.png
12_LRF_Performance_62bc4122b81c6.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/12_LRF_Performance_62bc4122b81c6.png,LRF_Performance_62bc4122b81c6.png
13_LRF_Performance_62bc4123cca63.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/13_LRF_Performance_62bc4123cca63.png,LRF_Performance_62bc4123cca63.png
14_LRF_Performance_62bc4124e35b5.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/14_LRF_Performance_62bc4124e35b5.png,LRF_Performance_62bc4124e35b5.png
15_LRF_Performance_62bc41260c70f.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/15_LRF_Performance_62bc41260c70f.png,LRF_Performance_62bc41260c70f.png
16_LRF_Performance_62bc412722819.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/16_LRF_Performance_62bc412722819.png,LRF_Performance_62bc412722819.png
17_LRF_Performance_62bc412839593.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/17_LRF_Performance_62bc412839593.png,LRF_Performance_62bc412839593.png
18_LRF_Performance_62bc41294d12b.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/18_LRF_Performance_62bc41294d12b.png,LRF_Performance_62bc41294d12b.png
19_LRF_Performance_62bc412a61759.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/19_LRF_Performance_62bc412a61759.png,LRF_Performance_62bc412a61759.png
1_20250930_pr_4339_68e738520ede9.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/1_20250930_pr_4339_68e738520ede9.png,20250930_pr_4339_68e738520ede9.png
1_20260529_pr_5028_6a19200c43576.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/1_20260529_pr_5028_6a19200c43576.png,20260529_pr_5028_6a19200c43576.png
1_20260630_pr_5107_6a448ffee3a04.png,https://mausam.imd.gov.in/backend/assets/pdf_to_img_seasonal_forecast/1_20260630_pr_5107_6a448ffee3a04.png,20260630_pr_5107_6a448ffee3a04.png
