Period,PRECTOTCORR,T2M
1996-01,0.57,14.77
1996-02,1.49,17.93
1996-03,0.19,24.57
1996-04,0.11,30.4
1996-05,0.54,34.48
1996-06,5.2,35.55
1996-07,5.88,32.03
1996-08,10.34,28.42
1996-09,5.04,27.09
1996-10,0.66,22.94
1996-11,0.0,18.84
1996-12,0.02,14.49
1997-01,0.24,13.51
1997-02,0.09,17.41
1997-03,0.38,23.17
1997-04,0.54,28.27
1997-05,1.6,32.84
1997-06,3.4,34.09
1997-07,3.01,34.31
1997-08,4.87,30.93
1997-09,2.15,29.88
1997-10,1.27,25.17
1997-11,0.58,20.28
1997-12,1.54,14.24
1998-01,0.01,12.95
1998-02,0.59,16.24
1998-03,0.75,21.11
1998-04,0.3,30.6
1998-05,0.59,35.64
1998-06,4.64,35.28
1998-07,4.23,31.74
1998-08,7.23,30.18
1998-09,5.82,28.54
1998-10,2.67,24.36
1998-11,0.36,19.74
1998-12,0.0,15.58
1999-01,1.37,13.68
1999-02,0.04,17.75
1999-03,0.01,24.12
1999-04,0.0,31.48
1999-05,0.36,35.79
1999-06,1.94,36.38
1999-07,4.65,34.33
1999-08,2.92,32.24
1999-09,3.55,30.27
1999-10,0.47,26.32
1999-11,0.0,21.54
1999-12,0.01,16.69
2000-01,0.53,14.96
2000-02,1.14,15.22
2000-03,0.41,22.14
2000-04,0.16,31.9
2000-05,0.81,36.28
2000-06,4.86,34.49
2000-07,6.42,31.28
2000-08,5.46,30.64
2000-09,1.04,30.18
2000-10,0.0,26.9
2000-11,0.02,21.82
2000-12,0.08,16.36
2001-01,0.37,13.71
2001-02,0.37,18.38
2001-03,0.12,24.12
2001-04,0.85,29.74
2001-05,1.4,35.56
2001-06,3.88,34.31
2001-07,5.24,32.07
2001-08,2.94,31.1
2001-09,1.32,30.94
2001-10,0.17,27.51
2001-11,0.0,21.8
2001-12,0.04,16.42
2002-01,0.87,14.1
2002-02,1.1,16.84
2002-03,0.12,24.08
2002-04,0.21,31.7
2002-05,3.12,36.29
2002-06,1.5,36.08
2002-07,0.41,37.87
2002-08,4.83,32.12
2002-09,6.41,27.42
2002-10,0.07,25.71
2002-11,0.0,21.1
2002-12,0.9,16.67
2003-01,0.95,13.48
2003-02,0.56,17.26
2003-03,0.16,23.22
2003-04,0.09,31.32
2003-05,0.24,34.31
2003-06,4.08,36.7
2003-07,15.93,29.94
2003-08,6.18,29.03
2003-09,4.1,27.67
2003-10,0.38,23.63
2003-11,0.03,18.89
2003-12,0.74,15.35
2004-01,0.65,13.34
2004-02,0.01,17.43
2004-03,0.0,25.93
2004-04,2.55,32.05
2004-05,0.36,34.05
2004-06,2.86,35.17
2004-07,2.54,34.1
2004-08,8.35,29.23
2004-09,0.75,29.34
2004-10,2.37,25.19
2004-11,0.0,20.54
2004-12,0.03,16.36
2005-01,0.33,13.91
2005-02,1.32,16.86
2005-03,0.92,24.32
2005-04,0.24,29.1
2005-05,0.2,34.37
2005-06,2.17,37.46
2005-07,7.12,30.89
2005-08,3.71,31.78
2005-09,7.57,28.62
2005-10,0.01,24.04
2005-11,0.03,19.48
2005-12,0.02,14.24
2006-01,0.06,14.3
2006-02,0.0,22.69
2006-03,0.88,23.34
2006-04,0.1,30.89
2006-05,1.73,35.82
2006-06,3.39,34.44
2006-07,8.06,31.55
2006-08,3.24,29.6
2006-09,3.37,28.91
2006-10,0.22,27.35
2006-11,0.02,21.23
2006-12,0.15,16.19
2007-01,0.05,14.79
2007-02,2.73,17.57
2007-03,1.35,21.94
2007-04,0.04,31.48
2007-05,1.76,34.65
2007-06,4.71,36.15
2007-07,6.23,32.3
2007-08,6.64,29.27
2007-09,3.05,29.28
2007-10,0.02,24.99
2007-11,0.03,20.6
2007-12,0.04,15.38
2008-01,0.07,14.22
2008-02,0.11,16.38
2008-03,0.04,26.39
2008-04,1.01,29.71
2008-05,3.64,33.11
2008-06,4.09,32.36
2008-07,7.06,30.53
2008-08,8.33,28.28
2008-09,5.64,27.06
2008-10,0.12,24.54
2008-11,0.09,19.81
2008-12,0.0,17.08
2009-01,0.13,15.25
2009-02,0.19,18.25
2009-03,0.22,24.87
2009-04,0.19,30.13
2009-05,1.46,35.74
2009-06,1.08,36.67
2009-07,5.01,34.9
2009-08,6.66,31.29
2009-09,5.9,27.53
2009-10,1.34,23.91
2009-11,0.53,19.82
2009-12,0.07,15.58
2010-01,0.21,14.32
2010-02,0.87,17.82
2010-03,0.02,26.62
2010-04,0.04,33.3
2010-05,0.22,36.77
2010-06,0.43,37.43
2010-07,9.68,31.94
2010-08,10.87,28.78
2010-09,9.77,26.57
2010-10,0.16,24.07
2010-11,0.86,19.4
2010-12,0.28,13.22
2011-01,0.03,11.2
2011-02,1.43,16.53
2011-03,0.11,22.39
2011-04,0.34,28.93
2011-05,0.98,35.86
2011-06,3.95,34.74
2011-07,5.31,30.75
2011-08,7.38,28.71
2011-09,6.91,27.06
2011-10,0.05,24.49
2011-11,0.0,20.71
2011-12,0.03,15.24
2012-01,0.71,12.79
2012-02,0.05,15.79
2012-03,0.13,23.31
2012-04,0.61,30.09
2012-05,0.08,35.06
2012-06,0.5,38.43
2012-07,5.02,33.66
2012-08,11.41,29.35
2012-09,2.98,26.73
2012-10,0.17,23.89
2012-11,0.04,18.64
2012-12,0.15,14.51
2013-01,1.0,11.97
2013-02,2.98,15.8
2013-03,0.35,22.77
2013-04,0.23,29.87
2013-05,0.15,35.69
2013-06,5.96,34.41
2013-07,10.63,30.18
2013-08,10.63,28.24
2013-09,3.68,27.01
2013-10,2.31,23.96
2013-11,0.05,17.41
2013-12,0.26,14.29
2014-01,0.92,13.22
2014-02,2.0,15.23
2014-03,0.71,21.17
2014-04,0.36,28.13
2014-05,1.31,33.75
2014-06,1.32,37.6
2014-07,3.88,33.8
2014-08,5.5,31.34
2014-09,2.3,29.18
2014-10,0.26,26.43
2014-11,0.0,20.5
2014-12,0.79,14.36
2015-01,1.07,12.64
2015-02,0.19,18.09
2015-03,2.81,21.32
2015-04,1.17,27.98
2015-05,0.24,35.15
2015-06,3.23,35.24
2015-07,7.42,30.76
2015-08,6.85,29.58
2015-09,1.69,29.17
2015-10,0.36,26.41
2015-11,0.03,21.58
2015-12,0.05,15.9
2016-01,0.01,15.62
2016-02,0.12,18.58
2016-03,0.72,24.93
2016-04,0.01,32.08
2016-05,1.57,35.54
2016-06,2.65,36.47
2016-07,10.45,30.93
2016-08,4.96,28.7
2016-09,1.36,28.81
2016-10,0.16,26.2
2016-11,0.0,20.5
2016-12,0.0,16.76
2017-01,0.84,14.38
2017-02,0.02,17.92
2017-03,0.45,23.81
2017-04,0.27,32.1
2017-05,0.58,35.95
2017-06,4.68,34.95
2017-07,5.13,30.97
2017-08,4.63,30.49
2017-09,5.27,28.53
2017-10,0.0,25.78
2017-11,0.0,19.2
2017-12,0.15,15.36
2018-01,0.1,13.59
2018-02,0.12,19.23
2018-03,0.05,25.49
2018-04,0.7,31.09
2018-05,0.31,35.43
2018-06,1.56,36.37
2018-07,12.11,31.81
2018-08,6.74,28.79
2018-09,5.68,26.62
2018-10,0.09,23.65
2018-11,0.08,19.53
2018-12,0.01,13.57
2019-01,1.19,12.75
2019-02,1.0,15.51
2019-03,0.28,21.32
2019-04,0.64,30.71
2019-05,0.46,34.24
2019-06,0.34,37.68
2019-07,5.92,33.62
2019-08,5.63,30.05
2019-09,2.58,29.6
2019-10,0.43,25.54
2019-11,0.45,21.31
2019-12,1.26,12.88
2020-01,0.95,12.7
2020-02,0.59,15.86
