record_id,Latitude,Longitude,Crop Sowing Time,Crop Harvesting Time,Yield Level (t/ha),season_days,sow_year,imd_STATE,imd_District,imd_Dist_Code,imd_TEHSIL,imd_lat,imd_lon,imd_distance_km,imd_year,imd_year_annual_rainfall_mm,imd_year_annual_tmin_mean,imd_year_annual_tmax_mean,imd_year_annual_pr_std,imd_year_annual_tmin_std,imd_year_annual_tmax_std,imd_clim_annual_rainfall_mm,imd_clim_annual_tmin_mean,imd_clim_annual_tmax_mean,imd_clim_annual_pr_std,imd_clim_annual_tmin_std,imd_clim_annual_tmax_std,imd_year_yield_t_ha,imd_climate_yield_t_ha,imd_year_yield_error_t_ha,imd_climate_yield_error_t_ha
1,26.46008,85.01966667,2015-07-15,2015-11-18,4.2,126.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,48.01,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.87,-0.68
2,26.46056,85.0225,2015-07-25,2015-11-27,4.8,125.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,47.73,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.27,-0.08
3,26.46061,85.02294444,2015-07-28,2015-11-24,4.5,119.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,47.68,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.57,-0.38
4,26.46117,85.02469444,2015-07-25,2015-12-03,4.8,131.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,47.5,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.27,-0.08
5,26.46192,85.02644444,2015-07-12,2015-11-26,4.5,137.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,47.32,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.57,-0.38
6,26.46356,85.02466667,2015-07-15,2015-11-18,4.4,126.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,47.48,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.67,-0.48
7,26.46,85.02797222,2015-07-12,2015-11-26,4.6,137.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,47.19,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.47,-0.28
8,26.46431,85.02275,2015-07-24,2015-11-26,4.3,125.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,47.67,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.77,-0.58
9,26.465,85.025,2015-07-18,2015-11-21,4.5,126.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,47.44,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.57,-0.38
10,26.46214,85.01675,2015-10-07,2015-11-29,4.8,53.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,48.28,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.27,-0.08
