record_id,Longitude,Latitude,Crop Sowing Time,Crop Harvesting Time,Yield Level (t/ha),season_days,calendar_year,ind_week,week_start,week_end,pH (1:2),EC (dS/m),OC %,Major-nutrient Avail N. (Kg/ha),Major-nutrient P(kg/ha),Major-nutrient Avail. K (kg/ha),Major-nutrient Sulphur (kg/ha),Micro-nutrientZn (ppm),Micro-nutrient Fe (ppm),Micro-nutrient Mn (ppm),Micro-nutrient Cu (ppm),Actual Residue Incorporation,N (kg/ha),P2o5 from DAP,K2o5 from MOP,Zinc Sul,FYM (in t/ha),FYM input interval (Yr),Crop Sowing Time_1,Crop Harvesting Time_1,rainfall_total_week_mm,rainfall_weekly_mean_mm_day,relative_humidity_weekly_mean_pct,solar_radiation_weekly_mean_kwh_m2_day,T_Min,T_Max,wind_speed_weekly_mean_ms
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,1,2015-01-01,2015-01-07,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,10.12,1.4457142857142855,68.63428571428571,7.244285714285715,7.06,26.45,2.738571428571429
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,2,2015-01-08,2015-01-14,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,0.01,0.0014285714285714,58.131428571428565,8.48857142857143,4.55,23.62,2.672857142857143
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,3,2015-01-15,2015-01-21,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,0.0,0.0,57.35285714285714,9.305714285714284,5.33,24.65,3.1585714285714284
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,4,2015-01-22,2015-01-28,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,1.95,0.2785714285714286,62.77571428571429,10.78857142857143,7.15,26.27,3.6557142857142857
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,5,2015-01-29,2015-02-04,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,1.85,0.2642857142857143,50.74428571428571,13.37,5.04,28.91,2.951428571428571
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,6,2015-02-05,2015-02-11,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,0.05,0.0071428571428571,49.94714285714286,14.071428571428571,8.16,28.17,3.4057142857142857
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,7,2015-02-12,2015-02-18,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,0.0999999999999999,0.0142857142857142,44.972857142857144,13.44285714285714,9.58,29.96,2.5128571428571425
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,8,2015-02-19,2015-02-25,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,1.97,0.2814285714285714,43.458571428571425,13.28857142857143,14.13,32.77,2.3057142857142856
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,9,2015-02-26,2015-03-04,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,16.41,2.3442857142857143,51.95,12.174285714285714,11.84,34.13,3.357142857142857
1,85.01966667,26.46008,2015-07-15,2015-11-18,4.2,126,2015,10,2015-03-05,2015-03-11,8.04,0.2224,0.889447,296.9900503,12.29803922,208.32,19.94086957,0.477,1.3555,1.386,13.555,0.93,91.5,55.2,30.0,12.0,20,8,196,322,0.0,0.0,40.09000000000001,21.638571428571428,11.26,34.3,4.0371428571428565
